1,2,3,4,5,6
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-265.625,46.875,15.625,-93.75,-31.25,0
-609.375,-46.875,-78.125,-125,-62.5,0
-609.375,-46.875,-78.125,-125,-62.5,0
-609.375,-46.875,-78.125,-125,-62.5,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-296.875,15.625,-15.625,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-390.625,-15.625,-46.875,-93.75,-31.25,0
-1265.62,-265.625,-171.875,-218.75,-156.25,0
-1265.62,-265.625,-171.875,-218.75,-156.25,0
-1265.62,-265.625,-171.875,-218.75,-156.25,0
-1390.62,-296.875,-203.125,-234.375,-171.875,-15.625
-1390.62,-296.875,-203.125,-234.375,-171.875,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-515.625,-78.125,-93.75,-125,-62.5,-15.625
-406.25,-46.875,-78.125,-109.375,-46.875,0
-406.25,-46.875,-78.125,-109.375,-46.875,0
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
-296.875,-15.625,-62.5,-62.5,-31.25,15.625
