config/allocation_config_ty.csv
Total number of trades is : 13579
Sell:16673 Buy:16761
From: Mon May 25 12:00:00 2009
To:   Wed Dec 30 11:00:00 2009

Length 33434
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.734 0 1
39959.6  118.75 0 1
39959.6  118.75 0 1
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.734 1 0
39959.6  118.641 1 0
39959.6  118.641 1 0
39959.6  118.641 1 0
39959.6  118.641 1 0
39959.6  118.641 1 0
39959.6  118.641 1 0
39959.6  118.594 0 1
39959.6  118.594 0 1
39959.6  118.594 0 1
39959.6  118.578 1 0
39959.6  118.578 1 0
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.625 0 1
39959.6  118.625 0 1
39959.6  118.625 0 1
39959.6  118.625 0 1
39959.6  118.625 1 0
39959.6  118.609 0 1
39959.6  118.609 0 1
39959.6  118.531 1 0
39959.6  118.531 1 0
39959.6  118.531 1 0
39959.6  118.531 1 0
39959.6  118.531 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.6  118.516 1 0
39959.7  118.406 0 1
39959.7  118.406 0 1
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.359 1 0
39959.7  118.359 1 0
39959.7  118.359 1 0
39959.7  118.359 1 0
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.375 0 1
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.391 1 0
39959.7  118.344 0 1
39959.7  118.344 0 1
39959.7  118.344 0 1
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.312 0 1
39959.7  118.312 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.328 0 1
39959.7  118.312 0 1
39959.7  118.312 0 1
39959.7  118.312 0 1
39959.7  118.312 0 1
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39959.7  118.328 1 0
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.438 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.422 1 0
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.438 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.422 0 1
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.406 1 0
39960.1  118.375 1 0
39960.1  118.375 1 0
39960.1  118.375 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.344 0 1
39960.1  118.359 0 1
39960.1  118.359 0 1
39960.1  118.375 0 1
39960.1  118.375 0 1
39960.1  118.375 0 1
39960.1  118.375 0 1
39960.1  118.375 0 1
39960.1  118.375 0 1
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.1  118.359 1 0
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.328 0 1
39960.2  118.344 0 1
39960.2  118.344 0 1
39960.2  118.344 0 1
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.344 1 0
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.375 1 0
39960.2  118.375 1 0
39960.2  118.375 1 0
39960.2  118.375 1 0
39960.2  118.375 1 0
39960.2  118.375 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 1 0
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.359 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.406 1 0
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.391 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.406 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 1 0
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.2  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 0 1
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.422 1 0
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.391 1 0
39960.3  118.391 1 0
39960.3  118.391 1 0
39960.3  118.391 1 0
39960.3  118.391 1 0
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.375 0 1
39960.3  118.406 1 0
39960.3  118.391 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.406 0 1
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
39960.3  118.438 1 0
