CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/27/09,39960.21535,F2 ZN\M09,118.421875,5,0
05/27/09,39960.21535,F2 ZN\M09,118.421875,3,0
05/27/09,39960.2188,F2 ZN\M09,118.40625,7,1
05/27/09,39960.2188,F2 ZN\M09,118.40625,5,1
05/27/09,39960.2188,F2 ZN\M09,118.40625,1,1
05/27/09,39960.22573,F2 ZN\M09,118.40625,5,0
05/27/09,39960.22573,F2 ZN\M09,118.40625,3,0
05/27/09,39960.22573,F2 ZN\M09,118.40625,9,0
05/27/09,39960.2292,F2 ZN\M09,118.390625,3,1
05/27/09,39960.2292,F2 ZN\M09,118.390625,4,1
05/27/09,39960.2292,F2 ZN\M09,118.390625,4,1
05/27/09,39960.2292,F2 ZN\M09,118.390625,6,1
05/27/09,39960.23268,F2 ZN\M09,118.40625,3,1
05/27/09,39960.23615,F2 ZN\M09,118.421875,5,1
05/27/09,39960.23962,F2 ZN\M09,118.421875,9,0
05/27/09,39960.23962,F2 ZN\M09,118.421875,1,0
05/27/09,39960.23962,F2 ZN\M09,118.421875,5,0
05/27/09,39960.23962,F2 ZN\M09,118.421875,5,0
05/27/09,39960.23962,F2 ZN\M09,118.421875,3,0
05/27/09,39960.24656,F2 ZN\M09,118.421875,4,1
05/27/09,39960.24656,F2 ZN\M09,118.421875,1,1
05/27/09,39960.24656,F2 ZN\M09,118.421875,1,1
05/27/09,39960.24656,F2 ZN\M09,118.421875,11,1
05/27/09,39960.25003,F2 ZN\M09,118.421875,8,1
05/27/09,39960.2535,F2 ZN\M09,118.421875,17,0
05/27/09,39960.2535,F2 ZN\M09,118.421875,5,0
05/27/09,39960.2535,F2 ZN\M09,118.421875,5,0
05/27/09,39960.2535,F2 ZN\M09,118.421875,2,0
05/27/09,39960.25698,F2 ZN\M09,118.375,6,1
05/27/09,39960.26045,F2 ZN\M09,118.390625,5,0
05/27/09,39960.26392,F2 ZN\M09,118.375,18,1
05/27/09,39960.26739,F2 ZN\M09,118.40625,1,0
05/27/09,39960.27087,F2 ZN\M09,118.390625,1,1
05/27/09,39960.27435,F2 ZN\M09,118.40625,4,1
05/27/09,39960.27782,F2 ZN\M09,118.40625,3,1
05/27/09,39960.27782,F2 ZN\M09,118.40625,1,1
05/27/09,39960.28129,F2 ZN\M09,118.4375,6,0
05/27/09,39960.28129,F2 ZN\M09,118.4375,2,0
05/27/09,39960.28476,F2 ZN\M09,118.4375,7,1
05/27/09,39960.28823,F2 ZN\M09,118.453125,5,0
05/27/09,39960.28823,F2 ZN\M09,118.453125,2,0
05/27/09,39960.28823,F2 ZN\M09,118.453125,3,0
05/27/09,39960.29171,F2 ZN\M09,118.4375,3,1
05/27/09,39960.30559,F2 ZN\M09,118.453125,1,1
05/27/09,39960.30559,F2 ZN\M09,118.453125,7,1
05/27/09,39960.31253,F2 ZN\M09,118.46875,7,0
05/27/09,39960.31253,F2 ZN\M09,118.46875,3,0
05/27/09,39960.31253,F2 ZN\M09,118.46875,5,0
05/27/09,39960.31253,F2 ZN\M09,118.46875,4,0
05/27/09,39960.31253,F2 ZN\M09,118.46875,1,0
05/27/09,39960.31253,F2 ZN\M09,118.46875,3,0
05/27/09,39960.31948,F2 ZN\M09,118.46875,10,1
